«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,11.09,11.3,10.5,10.52,11.09,-5.14,-0.57,4089167.5,374951
2026/01/12,11.45,11.59,10.9,11.09,11.45,-3.14,-0.36,3482878.75,309382
2026/01/11,11.5,11.95,11.34,11.45,11.5,-0.43,-0.05,3831226.25,330651
2026/01/08,11.23,12.35,11.2,11.5,11.23,2.4,0.27,1.1690138E7,980124
2026/01/06,11.26,11.37,11.1,11.23,11.26,-0.27,-0.03,1231891.5,109565
2026/01/05,11.55,11.8,11.21,11.26,11.55,-2.51,-0.29,2365839.25,207568
2026/01/04,11.85,11.97,11.53,11.55,11.85,-2.45,-0.29,2187429.75,187486
2025/12/31,11.78,12.0,11.6,11.85,11.78,0.59,0.07,2743230.0,231850
2025/12/30,11.69,11.98,11.4,11.78,11.69,1.71,0.2,3801417.0,323490
2025/12/29,12.32,12.39,11.65,11.69,12.32,-5.11,-0.63,3717684.75,311510
2025/12/28,11.61,12.63,11.2,12.32,11.61,6.12,0.71,1.178563E7,977046
2025/12/25,12.03,12.18,11.47,11.61,12.03,-3.49,-0.42,4554494.0,391520
2025/12/24,12.11,12.3,11.76,12.03,12.11,-0.66,-0.08,3698281.75,308933
2025/12/23,11.67,12.83,11.0,12.11,11.67,3.77,0.44,1.7438742E7,1435581
2025/12/22,12.96,13.28,11.67,11.67,12.96,-9.95,-1.29,1.2188695E7,994735
2025/12/21,11.79,12.96,12.06,12.96,11.79,9.92,1.17,7295694.0,567154
2025/12/18,10.72,11.79,11.05,11.79,10.72,9.98,1.07,5901565.0,503227
2025/12/17,9.75,10.72,10.0,10.72,9.75,9.95,0.97,8415115.0,798273
2025/12/16,8.87,9.75,8.87,9.75,8.87,9.92,0.88,1.0857756E7,1130641
2025/12/15,8.86,8.93,8.83,8.87,8.86,0.45,0.04,653282.5,73611
2025/12/14,8.86,8.92,8.8,8.86,8.86,-0.45,-0.04,1401438.13,158433
2025/12/11,8.87,8.92,8.85,8.86,8.87,-0.11,-0.01,398743.31,44935
2025/12/10,8.82,8.9,8.8,8.87,8.82,0.45,0.04,422794.38,47833
2025/12/09,8.84,8.98,8.77,8.82,8.84,-0.23,-0.02,1453091.0,164311
2025/12/08,8.79,8.98,8.25,8.84,8.79,0.34,0.03,417129.69,47222
2025/12/07,8.8,8.94,8.77,8.79,8.8,-0.11,-0.01,598341.94,67960
2025/12/04,8.99,9.15,8.7,8.8,8.99,-1.0,-0.09,1314350.13,148131
2025/12/03,8.85,9.05,8.85,8.99,8.85,0.79,0.07,964209.13,107639
2025/12/02,8.9,9.06,8.85,8.85,8.9,-0.56,-0.05,1132651.63,127367
2025/12/01,8.82,9.24,8.83,8.9,8.82,0.91,0.08,2271332.0,251811
2025/11/30,8.84,9.0,8.78,8.82,8.84,-0.23,-0.02,820875.75,92437
2025/11/27,8.65,9.32,8.53,8.84,8.65,2.2,0.19,2998565.75,334585
2025/11/26,8.65,8.78,8.56,8.65,8.65,0.92,0.08,112574.78,13035
2025/11/25,8.73,8.8,8.55,8.65,8.73,-0.92,-0.08,784399.5,90647
2025/11/24,8.9,9.0,8.65,8.73,8.9,-2.25,-0.2,1919167.0,218931
2025/11/23,8.92,9.12,8.75,8.9,8.92,-0.22,-0.02,1405375.0,157047
2025/11/20,8.8,9.27,8.77,8.92,8.8,1.36,0.12,2262019.75,250779
2025/11/19,8.8,8.9,8.69,8.8,8.8,0.0,0.0,1685138.38,192820
2025/11/18,8.7,9.5,8.69,8.8,8.7,1.15,0.1,6768607.5,741565
2025/11/17,8.74,8.93,8.63,8.7,8.74,-0.46,-0.04,2075031.25,236707
2025/11/16,9.24,9.36,8.67,8.74,9.24,-5.41,-0.5,3313459.25,371393
2025/11/13,8.96,9.85,9.15,9.24,8.96,3.12,0.28,9090110.0,951067
2025/11/12,8.15,8.96,8.19,8.96,8.15,9.94,0.81,3775249.75,431404
2025/11/11,8.56,8.65,8.13,8.15,8.56,-5.02,-0.43,2280579.0,276223
2025/11/10,8.71,8.75,8.5,8.56,8.71,-0.69,-0.06,391749.72,45624
2025/11/09,8.77,8.8,8.67,8.71,8.77,-0.8,-0.07,486544.16,55894
2025/11/06,8.78,8.8,8.72,8.77,8.78,-0.11,-0.01,216132.78,24626
2025/11/05,8.81,8.8,8.75,8.78,8.81,-0.23,-0.02,217385.25,24763
2025/11/04,8.79,8.97,8.75,8.81,8.79,0.0,0.0,304692.53,34454
2025/11/03,8.86,8.91,8.71,8.79,8.86,-0.79,-0.07,636748.56,72566
2025/11/02,8.86,8.98,8.71,8.86,8.86,0.0,0.0,678694.63,76655
2025/10/30,8.99,9.08,8.7,8.86,8.99,-1.45,-0.13,1308342.0,146292
2025/10/29,8.99,9.09,8.95,8.99,8.99,0.0,0.0,606001.25,67418
2025/10/28,9.3,9.34,8.93,8.99,9.3,-3.23,-0.3,2733600.75,302748
2025/10/27,9.0,9.46,8.85,9.3,9.0,3.0,0.27,3600469.25,391435
2025/10/26,9.12,9.16,8.99,9.0,9.12,-1.32,-0.12,1673612.13,184400
2025/10/23,9.12,9.18,9.06,9.12,9.12,-0.22,-0.02,524085.69,57574
2025/10/22,9.1,9.18,9.08,9.12,9.1,0.44,0.04,873466.56,95836
2025/10/21,9.17,9.22,9.08,9.1,9.17,-0.44,-0.04,773638.75,84663
2025/10/20,9.15,9.25,9.1,9.17,9.15,0.55,0.05,1391982.25,152225
2025/10/19,9.1,9.15,9.08,9.15,9.1,0.55,0.05,1024776.69,112313
2025/10/16,9.08,9.15,9.06,9.1,9.08,0.22,0.02,786481.44,86282
2025/10/15,9.11,9.2,9.04,9.08,9.11,-0.33,-0.03,1092293.38,119927
2025/10/14,9.12,9.27,9.08,9.11,9.12,0.33,0.03,828054.63,90732
2025/10/13,9.29,9.42,9.1,9.12,9.29,-1.72,-0.16,1343532.0,146603
2025/10/12,9.41,9.5,9.17,9.29,9.41,-1.91,-0.18,1779918.88,190456
2025/10/08,9.1,9.9,9.04,9.41,9.1,2.64,0.24,6899035.5,726431
2025/10/07,9.09,9.16,8.86,9.1,9.09,0.55,0.05,1403187.75,155074
2025/10/06,9.09,9.24,9.06,9.09,9.09,0.0,0.0,346977.72,38099
2025/10/05,9.13,9.18,9.05,9.09,9.13,-0.66,-0.06,630203.06,68996
2025/10/02,9.23,9.37,9.01,9.13,9.23,-1.08,-0.1,1353776.38,148050
2025/10/01,9.28,9.35,9.11,9.23,9.28,-0.11,-0.01,1074512.13,116895
2025/09/30,9.26,9.37,9.25,9.28,9.26,1.08,0.1,1018445.63,109773
2025/09/29,9.29,9.39,9.22,9.26,9.29,0.11,0.01,953158.31,102783
2025/09/28,9.31,9.42,9.21,9.29,9.31,-0.54,-0.05,691768.5,74560
2025/09/25,9.23,9.4,9.16,9.31,9.23,0.87,0.08,679191.75,73114
2025/09/24,9.3,9.47,9.12,9.23,9.3,-0.75,-0.07,1022555.44,111225
2025/09/23,9.15,9.76,9.1,9.3,9.15,1.64,0.15,2486566.0,263696
2025/09/22,9.18,9.24,9.08,9.15,9.18,-0.22,-0.02,435921.25,47680
2025/09/21,9.47,9.53,9.04,9.18,9.47,-3.06,-0.29,1323582.38,143473
2025/09/18,9.34,9.51,9.33,9.47,9.34,0.64,0.06,1091636.63,115956
2025/09/17,9.43,9.49,9.29,9.34,9.43,-0.95,-0.09,1669813.5,178640
2025/09/16,9.81,9.89,9.39,9.43,9.81,-3.67,-0.36,1919134.63,200130
2025/09/15,9.9,9.95,9.74,9.81,9.9,-0.91,-0.09,2259100.5,230302
2025/09/14,10.06,10.1,9.85,9.9,10.06,-1.59,-0.16,1628513.0,163918
2025/09/11,10.15,10.27,10.02,10.06,10.15,-0.89,-0.09,2134153.0,211141
2025/09/10,9.96,10.4,9.95,10.15,9.96,1.91,0.19,3275303.5,321420
2025/09/09,10.07,10.45,9.91,9.96,10.07,-1.09,-0.11,2924490.5,289539
2025/09/08,10.43,10.46,9.93,10.07,10.43,-3.45,-0.36,4255194.5,421719
2025/09/07,11.03,11.16,10.3,10.43,11.03,-5.44,-0.6,3423270.25,322110
2025/09/03,10.89,11.62,10.73,11.03,10.89,1.29,0.14,1.0287239E7,922296
2025/09/02,9.9,10.89,9.62,10.89,9.9,10.0,0.99,1.1166208E7,1060823
2025/09/01,10.2,10.24,9.83,9.9,10.2,-2.75,-0.28,3862719.0,385377
2025/08/31,9.95,10.42,10.02,10.2,9.95,2.51,0.25,1.0407035E7,1018533
2025/08/28,9.48,10.2,9.49,9.95,9.48,4.96,0.47,1.1778752E7,1180803
2025/08/27,9.54,9.63,9.41,9.48,9.54,-0.63,-0.06,2122843.0,223692
2025/08/26,9.5,9.75,9.4,9.54,9.5,1.37,0.13,3375511.75,353558
2025/08/25,9.73,9.82,9.43,9.5,9.73,-2.36,-0.23,2208938.75,230186
2025/08/24,9.49,10.2,9.39,9.73,9.49,2.53,0.24,8771039.0,893574
2025/08/21,9.58,9.8,9.35,9.49,9.58,-0.94,-0.09,4040790.75,424468
2025/08/20,9.8,9.9,9.55,9.58,9.8,-2.24,-0.22,3782208.25,392521
2025/08/19,10.07,10.07,9.75,9.8,10.07,-2.68,-0.27,3212082.0,326808
2025/08/18,9.99,10.2,9.77,10.07,9.99,0.8,0.08,4902260.5,493363
2025/08/17,9.46,10.39,9.52,9.99,9.46,5.6,0.53,9578723.0,959057
2025/08/14,9.78,9.92,9.16,9.46,9.78,-2.86,-0.28,5404849.0,566128
2025/08/13,9.78,10.4,9.65,9.78,9.78,0.51,0.05,5102017.0,510370
2025/08/12,9.59,10.36,9.11,9.78,9.59,1.98,0.19,1.2978903E7,1324224
2025/08/11,10.65,10.39,9.59,9.59,10.65,-9.95,-1.06,7757677.5,805087
2025/08/10,11.83,12.45,10.65,10.65,11.83,-9.97,-1.18,1.2776678E7,1155763
2025/08/07,10.83,11.91,10.22,11.83,10.83,9.23,1.0,1.8310602E7,1599112
2025/08/06,9.85,10.83,10.25,10.83,9.85,9.95,0.98,1873127.0,173847
2025/08/05,8.96,9.85,9.24,9.85,8.96,9.93,0.89,6267176.5,637496
2025/08/04,8.15,8.96,8.0,8.96,8.15,9.94,0.81,2819532.25,324226
2025/08/03,9.01,9.03,8.12,8.15,9.01,-9.54,-0.86,3601495.5,422258
2025/07/31,9.42,10.1,8.77,9.01,9.42,-4.35,-0.41,6833456.5,726821
2025/07/30,9.72,10.69,8.75,9.42,9.72,0.0,-0.3,1.2530267E7,1286340
2025/07/29,10.8,9.72,9.72,9.72,10.8,-10.0,-1.08,362536.56,37298
2025/07/28,11.99,10.8,10.8,10.8,11.99,-9.92,-1.19,447692.41,41453
2025/07/27,13.32,12.97,11.99,11.99,13.32,-9.98,-1.33,1378730.88,114602
2025/07/23,14.8,15.0,13.32,13.32,14.8,-10.0,-1.48,1.1453642E7,827607
2025/07/22,15.56,16.9,14.3,14.8,15.56,-4.88,-0.76,7523572.5,490599
2025/07/21,14.79,16.22,13.6,15.56,14.79,5.21,0.77,1.3249365E7,862199
2025/07/20,13.45,14.79,13.51,14.79,13.45,9.96,1.34,1.0389355E7,704616
2025/07/17,12.24,13.46,11.62,13.45,12.24,9.97,1.22,3312130.0,255272
2025/07/16,11.3,12.4,10.47,12.24,11.3,8.32,0.94,3550301.75,296364
2025/07/15,10.28,11.3,9.26,11.3,10.28,9.92,1.02,6316043.5,650442
2025/07/14,10.89,11.97,9.81,10.28,10.89,-5.6,-0.61,4641304.0,425478
2025/07/13,9.9,10.89,10.41,10.89,9.9,10.0,0.99,1086829.13,99846
2025/07/07,7.45,8.19,7.55,8.19,7.45,9.93,0.74,2335308.25,286151
2025/07/06,6.78,7.45,6.15,7.45,6.78,9.88,0.67,3671244.0,504975
2025/07/02,6.17,6.78,6.02,6.78,6.17,9.89,0.61,4017303.25,611459
2025/07/01,5.62,6.18,5.3,6.17,5.62,9.96,0.56,2581786.0,440554
2025/06/30,5.17,5.67,5.09,5.62,5.17,8.7,0.45,1677737.5,311396
2025/06/29,5.3,5.39,4.85,5.17,5.3,-3.96,-0.21,581571.94,113004
2025/06/25,5.25,5.4,5.1,5.3,5.25,1.9,0.1,1844662.63,350488
2025/06/24,5.19,5.44,5.07,5.25,5.19,2.12,0.11,2679443.0,513636
2025/06/23,4.72,5.19,4.75,5.19,4.72,9.96,0.47,1225710.75,243555
2025/06/22,4.49,4.78,4.44,4.72,4.49,5.79,0.26,633645.94,135997
2025/06/19,4.27,4.63,4.12,4.49,4.27,5.15,0.22,1017863.0,237299
2025/06/18,4.16,4.38,4.12,4.27,4.16,2.64,0.11,605074.81,141827
2025/06/17,4.27,4.39,4.0,4.16,4.27,-2.58,-0.11,471114.47,112708
2025/06/16,4.41,4.5,4.2,4.27,4.41,-3.17,-0.14,223737.81,51998
2025/06/15,4.26,4.47,3.94,4.41,4.26,3.76,0.16,731566.13,168678
2025/06/12,4.28,4.55,4.02,4.26,4.28,-0.47,-0.02,917419.31,214790
2025/06/11,4.49,4.5,4.14,4.28,4.49,-4.68,-0.21,491663.88,113881
2025/06/10,4.45,4.64,4.33,4.49,4.45,1.12,0.05,308174.5,69062
2025/06/04,4.53,4.58,4.31,4.45,4.53,-1.32,-0.06,426947.56,95660
2025/06/03,4.45,4.8,4.45,4.53,4.45,1.8,0.08,1155932.13,250302
2025/06/02,4.94,4.99,4.45,4.45,4.94,-9.92,-0.49,1735058.63,383628
2025/06/01,5.42,5.71,4.88,4.94,5.42,-7.93,-0.43,1876754.13,368639
2025/05/29,5.68,6.23,5.34,5.42,5.68,-4.58,-0.26,5315399.0,910972
2025/05/28,5.25,5.7,5.11,5.68,5.25,8.19,0.43,3590388.25,655793
2025/05/27,5.09,5.5,5.1,5.25,5.09,3.14,0.16,2946868.75,556800
2025/05/26,4.88,5.36,5.0,5.09,4.88,4.3,0.21,3922583.0,754401
2025/05/25,4.44,4.88,4.33,4.88,4.44,9.91,0.44,3083754.0,653891
2025/05/22,4.56,4.95,4.37,4.44,4.56,-2.63,-0.12,1545984.63,332394
2025/05/21,4.67,5.13,4.51,4.56,4.67,-2.36,-0.11,4657489.0,946030
2025/05/20,4.25,4.67,3.97,4.67,4.25,9.88,0.42,5196029.0,1198650
2025/05/19,4.14,4.42,4.12,4.25,4.14,2.66,0.11,2683585.25,629359
2025/05/18,3.77,4.14,3.68,4.14,3.77,9.81,0.37,2005978.88,500835
2025/05/15,3.44,3.78,3.45,3.77,3.44,9.88,0.34,2018189.25,536876
2025/05/14,3.33,3.53,3.24,3.44,3.33,3.3,0.11,1074506.63,319254
2025/05/08,3.05,3.35,3.05,3.05,3.05,0.0,0.0,3670286.0,1145264
2025/05/07,2.78,3.05,2.57,3.05,2.78,9.71,0.27,2618597.0,869794
2025/05/06,2.53,2.78,2.76,2.78,2.53,9.88,0.25,835623.75,300629
2025/05/05,2.75,3.02,2.5,2.53,2.75,-8.0,-0.22,2307922.0,847755
2025/05/04,2.5,2.75,2.75,2.75,2.5,10.0,0.25,359086.75,130577
2025/04/30,2.28,2.5,2.39,2.5,2.28,9.65,0.22,689226.0,278211
2025/04/29,2.28,2.37,2.22,2.28,2.28,0.0,0.0,130299.35,58159
2025/04/28,2.34,2.4,2.25,2.28,2.34,2.14,0.05,280972.41,121678
