«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,27.5,27.99,26.88,27.0,27.5,-1.82,-0.5,4.7085148E7,1715993
2026/01/12,27.71,27.98,26.75,27.5,27.71,-0.76,-0.21,6.7516392E7,2485408
2026/01/11,26.86,28.0,27.0,27.71,26.86,3.16,0.85,9.2624864E7,3353882
2026/01/08,26.0,27.37,26.03,26.86,26.0,3.31,0.86,1.15778376E8,4319481
2026/01/06,24.41,26.04,24.3,26.0,24.41,6.51,1.59,7.5470792E7,2965366
2026/01/05,25.17,25.17,24.01,24.41,25.17,-3.02,-0.76,5.2281712E7,2145028
2026/01/04,25.28,25.42,25.08,25.17,25.28,-0.44,-0.11,2.8668672E7,1137065
2025/12/31,24.77,25.37,24.7,25.28,24.77,2.06,0.51,4.3754036E7,1738004
2025/12/30,24.5,24.8,24.52,24.77,24.5,1.1,0.27,2.1251614E7,860345
2025/12/29,24.47,24.86,24.47,24.5,24.47,0.12,0.03,1.2974646E7,526965
2025/12/28,24.6,25.05,24.45,24.47,24.6,-0.53,-0.13,6.3700648E7,2560254
2025/12/25,23.76,24.75,23.75,24.6,23.76,3.54,0.84,6.7281144E7,2756109
2025/12/24,23.73,23.79,23.61,23.76,23.73,0.13,0.03,7198095.5,303483
2025/12/23,23.79,23.79,23.51,23.73,23.79,-0.25,-0.06,8563610.0,362245
2025/12/22,23.7,23.82,23.5,23.79,23.7,0.38,0.09,2.6649322E7,1127822
2025/12/21,23.67,23.79,23.56,23.7,23.67,0.13,0.03,1.1046489E7,466719
2025/12/18,23.6,23.8,23.6,23.67,23.6,0.3,0.07,7655995.0,323414
2025/12/17,23.74,23.92,23.6,23.6,23.74,-0.59,-0.14,9957986.0,419813
2025/12/16,23.98,24.24,23.62,23.74,23.98,-1.0,-0.24,3.5484036E7,1489821
2025/12/15,23.81,23.99,23.5,23.98,23.81,0.71,0.17,1.465586E7,617296
2025/12/14,23.58,23.94,23.6,23.81,23.58,0.98,0.23,1.3395769E7,563224
2025/12/11,23.94,24.09,23.41,23.58,23.94,-1.59,-0.38,3.3235704E7,1402616
2025/12/10,24.03,24.29,23.8,23.94,24.03,-0.37,-0.09,8702479.0,364274
2025/12/09,24.17,24.39,23.66,24.03,24.17,-0.58,-0.14,2.5808682E7,1081553
2025/12/08,23.85,24.47,23.7,24.17,23.85,1.34,0.32,7.2878896E7,3055965
2025/12/07,23.99,24.5,23.6,23.85,23.99,-0.58,-0.14,6.7184056E7,2786967
2025/12/04,23.44,23.99,23.24,23.99,23.44,2.35,0.55,2.504074E7,1061636
2025/12/03,23.03,24.03,23.05,23.44,23.03,1.78,0.41,5.1758344E7,2183354
2025/12/02,22.8,23.08,22.68,23.03,22.8,1.01,0.23,2.8153048E7,1230857
2025/12/01,22.87,23.07,22.8,22.8,22.87,0.09,0.02,1.5807362E7,688629
2025/11/30,22.6,23.14,22.59,22.87,22.6,1.19,0.27,3.2410452E7,1418202
2025/11/27,23.02,23.2,22.51,22.6,23.02,-1.82,-0.42,2.5301708E7,1113212
2025/11/26,23.22,23.43,23.02,23.02,23.22,-0.86,-0.2,7633252.0,327838
2025/11/25,23.88,23.97,23.02,23.22,23.88,-2.76,-0.66,3.210893E7,1375770
2025/11/24,24.11,24.27,23.62,23.88,24.11,-0.95,-0.23,1.4567556E7,609264
2025/11/23,24.32,24.4,24.11,24.11,24.32,-0.86,-0.21,7656120.5,316810
2025/11/20,24.31,24.6,24.3,24.32,24.31,0.04,0.01,4051954.0,165928
2025/11/19,24.8,24.98,24.12,24.31,24.8,-1.98,-0.49,2.5693098E7,1051873
2025/11/18,24.25,24.94,24.05,24.8,24.25,2.27,0.55,3.1167432E7,1262619
2025/11/17,24.25,24.39,24.0,24.25,24.25,0.0,0.0,3.0254186E7,1252068
2025/11/16,24.21,24.4,23.81,24.25,24.21,0.17,0.04,2.879825E7,1196376
2025/11/13,24.97,25.25,24.01,24.21,24.97,-3.04,-0.76,3.2630544E7,1341359
2025/11/12,24.94,24.99,24.7,24.97,24.94,0.12,0.03,2.3770798E7,956043
2025/11/11,25.9,26.08,24.61,24.94,25.9,-3.71,-0.96,6.5244036E7,2597020
2025/11/10,26.6,26.78,25.6,25.9,26.6,-2.63,-0.7,6.203038E7,2388242
2025/11/09,25.85,26.83,25.85,26.6,25.85,2.9,0.75,1.21191744E8,4566444
2025/11/06,25.48,26.2,25.0,25.85,25.48,1.45,0.37,1.7693624E7,688226
2025/11/05,32.06,32.49,31.3,31.85,32.06,-0.66,-0.21,5.3393736E7,1689158
2025/11/04,32.74,32.78,32.06,32.06,32.74,-2.08,-0.68,7089694.5,218081
2025/11/03,32.5,32.78,31.78,32.74,32.5,0.86,0.28,2.0814192E7,647013
2025/11/02,32.6,32.8,32.05,32.5,32.6,-0.31,-0.1,5966094.5,183457
2025/10/30,32.68,32.94,32.53,32.6,32.68,-0.24,-0.08,1.872641E7,571384
2025/10/29,32.34,32.81,31.76,32.68,32.34,0.59,0.19,2.300486E7,706846
2025/10/28,32.4,32.51,31.7,32.34,32.4,-0.19,-0.06,2.2273748E7,691859
2025/10/27,32.2,32.45,31.5,32.4,32.2,0.62,0.2,2.5631746E7,797448
2025/10/26,29.99,32.28,30.06,32.2,29.99,7.37,2.21,1.5514328E8,4911473
2025/10/23,29.37,30.6,29.37,29.99,29.37,2.11,0.62,3.1902302E7,1060785
2025/10/22,29.51,29.62,29.16,29.37,29.51,-0.47,-0.14,1.3974264E7,475699
2025/10/21,29.75,29.8,29.03,29.51,29.75,-0.81,-0.24,1.7158726E7,582448
2025/10/20,29.74,29.8,29.65,29.75,29.74,0.03,0.01,1.7979136E7,604658
2025/10/19,29.87,29.97,29.5,29.74,29.87,-0.44,-0.13,1.0997508E7,370672
2025/10/16,29.94,30.0,29.5,29.87,29.94,-0.23,-0.07,1.885846E7,633941
2025/10/15,30.0,30.15,29.55,29.94,30.0,-0.2,-0.06,1.0539997E7,353907
2025/10/14,30.0,30.35,29.86,30.0,30.0,0.0,0.0,5.6739828E7,1886789
2025/10/13,29.35,30.1,28.9,30.0,29.35,2.21,0.65,7.2824448E7,2453896
2025/10/12,29.39,29.75,28.62,29.35,29.39,-0.14,-0.04,1.823813E7,626147
2025/10/08,29.67,29.89,29.2,29.39,29.67,-0.94,-0.28,3.6685008E7,1238366
2025/10/07,29.3,29.8,29.3,29.67,29.3,1.26,0.37,5.2846024E7,1782921
2025/10/06,29.09,29.55,29.0,29.3,29.09,0.72,0.21,4.8711428E7,1659576
2025/10/05,28.6,29.35,28.41,29.09,28.6,1.71,0.49,3.775892E7,1302512
2025/10/02,28.5,28.7,28.0,28.6,28.5,0.35,0.1,2.2045806E7,775433
2025/10/01,28.4,28.78,28.41,28.5,28.4,0.32,0.09,2.2438228E7,785998
2025/09/30,28.32,28.79,28.0,28.4,28.32,0.28,0.08,4.4850844E7,1572913
2025/09/29,27.85,28.38,27.57,28.32,27.85,1.69,0.47,3.2928508E7,1172804
2025/09/28,28.22,28.22,27.52,27.85,28.22,-1.31,-0.37,2.9145122E7,1045705
2025/09/25,27.91,28.25,27.75,28.22,27.91,1.11,0.31,4.8310032E7,1723678
2025/09/24,27.75,28.6,27.75,27.91,27.75,0.58,0.16,1.3368044E8,4726378
2025/09/23,26.85,27.8,27.25,27.75,26.85,3.35,0.9,1.45041072E8,5267869
2025/09/22,26.4,26.92,26.31,26.85,26.4,1.7,0.45,2.5851956E7,971042
2025/09/21,26.55,26.91,26.35,26.4,26.55,-0.56,-0.15,1.0666297E7,400537
2025/09/18,26.03,26.96,26.0,26.55,26.03,2.0,0.52,3.1622E7,1185967
2025/09/17,25.64,26.04,25.5,26.03,25.64,1.52,0.39,8712508.0,338184
2025/09/16,26.06,26.2,25.4,25.64,26.06,-1.61,-0.42,2.907624E7,1125506
2025/09/15,26.42,26.55,25.86,26.06,26.42,-1.36,-0.36,1.8971572E7,727025
2025/09/14,26.89,26.99,26.36,26.42,26.89,-1.75,-0.47,1.6440552E7,619360
2025/09/11,26.0,27.11,26.01,26.89,26.0,3.42,0.89,5.7825416E7,2155525
2025/09/10,25.4,26.0,25.34,26.0,25.4,2.36,0.6,2.4811242E7,973316
2025/09/09,25.5,25.67,25.38,25.4,25.5,-0.39,-0.1,1.916039E7,754088
2025/09/08,25.8,25.68,25.35,25.5,25.8,-1.16,-0.3,8965788.0,351718
2025/09/07,26.05,26.2,25.65,25.8,26.05,-0.96,-0.25,1.2203372E7,473225
2025/09/03,26.03,26.19,25.7,26.05,26.03,0.08,0.02,4.4744456E7,1729929
2025/09/02,26.3,26.5,26.0,26.03,26.3,-1.03,-0.27,4.4117856E7,1689934
2025/09/01,26.27,26.6,26.02,26.3,26.27,0.11,0.03,3.9212716E7,1493727
2025/08/31,27.12,27.45,26.27,26.27,27.12,-3.13,-0.85,2.2037456E7,824519
2025/08/28,26.38,27.14,26.32,27.12,26.38,2.81,0.74,1.7418904E7,649507
2025/08/27,26.51,26.58,26.28,26.38,26.51,-0.49,-0.13,1.2845287E7,486900
2025/08/26,27.0,27.15,26.5,26.51,27.0,-1.81,-0.49,1.7028116E7,637213
2025/08/25,26.9,27.15,26.72,27.0,26.9,0.37,0.1,2.7338148E7,1015586
2025/08/24,27.04,27.29,26.9,26.9,27.04,-0.52,-0.14,1.2651606E7,467563
2025/08/21,27.03,27.2,26.73,27.04,27.03,0.04,0.01,2.870743E7,1065418
2025/08/20,28.5,28.6,27.0,27.03,28.5,-5.16,-1.47,1.0863472E8,3955113
2025/08/19,28.51,28.81,28.35,28.5,28.51,-0.04,-0.01,1.1502295E7,404150
2025/08/18,29.29,29.4,28.4,28.51,29.29,-2.66,-0.78,2.2435966E7,780298
2025/08/17,29.3,29.31,28.95,29.29,29.3,-0.03,-0.01,7974899.5,273521
2025/08/14,29.3,29.4,28.76,29.3,29.3,0.0,0.0,8.1020936E7,2796044
2025/08/13,29.4,29.6,29.27,29.3,29.4,-0.34,-0.1,1.6713205E7,569483
2025/08/12,29.11,29.55,29.1,29.4,29.11,1.0,0.29,1.16573728E8,3988193
2025/08/11,29.2,29.4,28.93,29.11,29.2,-0.31,-0.09,2.7198916E7,936080
2025/08/10,29.5,29.7,29.2,29.2,29.5,-1.02,-0.3,1.8834304E7,639799
2025/08/07,29.34,29.6,29.2,29.5,29.34,0.55,0.16,3.6774484E7,1247764
2025/08/06,29.19,29.69,28.97,29.34,29.19,0.51,0.15,3.40815E7,1161443
2025/08/05,29.0,29.24,28.87,29.19,29.0,0.66,0.19,2.1221604E7,730465
2025/08/04,29.2,29.5,28.99,29.0,29.2,-0.68,-0.2,3.0626414E7,1048463
2025/08/03,28.7,29.2,28.3,29.2,28.7,1.74,0.5,2.3341538E7,809066
2025/07/31,28.65,28.79,28.35,28.7,28.65,0.17,0.05,1.1437691E7,400580
2025/07/30,28.44,28.87,28.5,28.65,28.44,0.0,0.21,2.0232212E7,705064
2025/07/29,28.51,28.57,28.3,28.44,28.51,-0.25,-0.07,2.3928072E7,842134
2025/07/28,28.62,28.88,28.4,28.51,28.62,-0.38,-0.11,2.3809854E7,834978
2025/07/27,28.3,28.7,28.32,28.62,28.3,1.24,0.35,1.4705132E7,515163
2025/07/23,28.1,28.49,28.14,28.3,28.1,0.71,0.2,1.3455332E7,475777
2025/07/22,28.8,28.97,27.99,28.1,28.8,-2.43,-0.7,5.495188E7,1939405
2025/07/21,29.15,29.3,28.57,28.8,29.15,-1.2,-0.35,4.0099404E7,1390969
2025/07/20,28.89,29.35,28.55,29.15,28.89,0.9,0.26,2.824278E7,971353
2025/07/17,29.16,29.25,28.55,28.89,29.16,-0.93,-0.27,3.9032892E7,1348587
2025/07/16,29.25,29.45,28.95,29.16,29.25,-0.31,-0.09,5.5651404E7,1909039
2025/07/15,28.62,29.38,28.33,29.25,28.62,2.2,0.63,1.221602E8,4202795
2025/07/14,28.79,28.76,28.0,28.62,28.79,-0.59,-0.17,4.0369156E7,1419308
2025/07/13,29.0,29.2,28.65,28.79,29.0,-0.72,-0.21,3.6470188E7,1259479
2025/07/07,27.0,27.45,27.05,27.39,27.0,1.44,0.39,2.9846392E7,1093463
2025/07/06,26.66,27.6,27.0,27.0,26.66,1.28,0.34,2.3408914E7,858054
2025/07/02,26.65,27.1,26.6,26.66,26.65,0.04,0.01,5.0143144E7,1870765
2025/07/01,27.23,27.3,26.61,26.65,27.23,-2.13,-0.58,3.093719E7,1153235
2025/06/30,27.3,27.5,26.9,27.23,27.3,-0.26,-0.07,3.4174652E7,1256286
2025/06/29,27.68,27.97,27.21,27.3,27.68,-1.37,-0.38,7.5917184E7,2770439
2025/06/25,27.27,28.05,27.15,27.68,27.27,1.5,0.41,8.2255576E7,2960253
2025/06/24,26.45,27.47,26.55,27.27,26.45,3.1,0.82,8.3156696E7,3071355
2025/06/23,25.25,26.78,25.3,26.45,25.25,4.75,1.2,1.1850932E8,4532897
2025/06/22,25.1,25.5,24.0,25.25,25.1,0.6,0.15,2.372028E7,942632
2025/06/19,25.52,25.8,24.9,25.1,25.52,-1.65,-0.42,3.9236776E7,1561670
2025/06/18,25.6,25.88,25.0,25.52,25.6,-0.31,-0.08,1.874714E7,735040
2025/06/17,26.2,26.24,25.55,25.6,26.2,-2.29,-0.6,1.7156218E7,665895
2025/06/16,25.66,26.25,25.67,26.2,25.66,2.1,0.54,3.3841936E7,1295688
2025/06/15,27.22,26.69,25.5,25.66,27.22,-5.73,-1.56,2.9475606E7,1135191
2025/06/12,27.71,27.8,26.88,27.22,27.71,-1.77,-0.49,2.9902264E7,1097349
2025/06/11,27.91,28.08,27.71,27.71,27.91,-0.72,-0.2,1.9661138E7,705518
2025/06/10,27.7,28.15,27.72,27.91,27.7,0.76,0.21,6.2444064E7,2230036
2025/06/04,27.35,27.8,27.2,27.7,27.35,1.28,0.35,2.2825048E7,830896
2025/06/03,27.0,27.6,27.0,27.35,27.0,1.3,0.35,3.2279892E7,1181328
2025/06/02,27.06,27.23,26.69,27.0,27.06,-0.22,-0.06,2.6643618E7,990131
2025/06/01,27.26,27.52,27.04,27.06,27.26,-0.73,-0.2,2.0486724E7,752064
2025/05/29,27.49,27.69,27.2,27.26,27.49,-0.84,-0.23,3.0613914E7,1120112
2025/05/28,27.79,28.15,27.3,27.49,27.79,-1.08,-0.3,9.433576E7,3387620
2025/05/27,27.16,27.89,27.07,27.79,27.16,2.32,0.63,4.2570068E7,1546521
2025/05/26,27.3,27.9,27.11,27.16,27.3,-0.51,-0.14,3.8531112E7,1400954
2025/05/25,27.12,27.78,27.15,27.3,27.12,0.66,0.18,2.017476E7,734761
2025/05/22,27.11,27.29,26.84,27.12,27.11,0.04,0.01,2.381418E7,879600
2025/05/21,27.41,27.68,26.91,27.11,27.41,-1.09,-0.3,4.4078488E7,1626377
2025/05/20,27.53,28.0,27.35,27.41,27.53,-0.44,-0.12,3.386924E7,1227753
2025/05/19,27.67,28.0,27.3,27.53,27.67,-0.51,-0.14,1.8332032E7,665517
2025/05/18,28.44,28.8,27.5,27.67,28.44,-2.71,-0.77,3.7325648E7,1333865
2025/05/15,27.1,29.38,27.1,28.44,27.1,4.94,1.34,3.11756224E8,10951856
2025/05/14,27.61,27.75,27.08,27.1,27.61,-1.85,-0.51,5.5643836E7,2034043
2025/05/08,28.26,28.6,27.21,28.18,28.26,-0.28,-0.08,1.40767648E8,5067283
2025/05/07,29.99,30.0,28.14,28.26,29.99,-5.77,-1.73,1.68225648E8,5796274
2025/05/06,30.8,30.9,29.95,29.99,30.8,-2.63,-0.81,1.85204224E8,6124999
2025/05/05,31.3,31.49,30.78,30.8,31.3,-1.6,-0.5,5.1665224E7,1666977
2025/05/04,31.4,31.61,31.25,31.3,31.4,-0.32,-0.1,2.1097844E7,672678
2025/04/30,31.51,31.69,31.35,31.4,31.51,-0.35,-0.11,3.1323894E7,994944
2025/04/29,31.66,32.19,31.5,31.51,31.66,-0.47,-0.15,8.377884E7,2628624
2025/04/28,31.4,31.87,31.54,31.66,31.4,0.83,0.26,1.31627864E8,4157059
2025/04/27,30.91,32.0,30.94,31.4,30.91,1.59,0.49,8.5763E7,2731676
2025/04/23,31.1,31.6,30.69,30.91,31.1,-0.61,-0.19,4.5254624E7,1463540
2025/04/22,31.2,31.4,31.0,31.1,31.2,-0.32,-0.1,4.943692E7,1588723
2025/04/17,31.57,31.94,30.99,31.2,31.57,-1.17,-0.37,4.8810044E7,1566860
2025/04/16,32.3,32.35,31.41,31.57,32.3,-2.26,-0.73,1.1147036E7,351853
2025/04/15,32.96,32.96,32.26,32.3,32.96,-2.0,-0.66,2.7095182E7,835965
2025/04/14,31.65,33.25,31.65,32.96,31.65,4.14,1.31,4.5482496E7,1394906
2025/04/13,31.35,31.98,31.5,31.65,31.35,0.96,0.3,1.5825788E7,498442
2025/04/10,30.2,31.7,30.86,31.35,30.2,3.81,1.15,2.7321274E7,877466
2025/04/09,31.31,31.57,30.15,30.2,31.31,-3.55,-1.11,2.9687582E7,959216
2025/04/08,31.5,31.88,31.23,31.31,31.5,-0.6,-0.19,3.2187672E7,1022633
2025/04/07,32.75,32.55,30.65,31.5,32.75,-3.82,-1.25,9.2063952E7,2935968
2025/04/06,33.4,33.35,31.47,32.75,33.4,-1.95,-0.65,3.574828E7,1090279
2025/04/03,33.0,33.7,32.06,33.4,33.0,1.21,0.4,3.740564E7,1128416
2025/03/27,31.47,33.0,31.5,33.0,31.47,4.86,1.53,4.8767728E7,1515142
2025/03/26,32.46,32.89,31.17,31.47,32.46,-3.05,-0.99,4.4988372E7,1419835
2025/03/25,31.2,32.47,30.9,32.46,31.2,4.04,1.26,1.9469782E7,614084
2025/03/24,31.5,31.89,30.85,31.2,31.5,-0.95,-0.3,2.183811E7,700388
2025/03/23,31.5,32.25,31.5,31.5,31.5,0.0,0.0,2.1385628E7,673745
2025/03/20,32.7,32.99,31.4,31.5,32.7,-3.67,-1.2,5.0301196E7,1579251
2025/03/19,33.09,33.38,32.35,32.7,33.09,-1.18,-0.39,3.1115736E7,951246
2025/03/18,34.02,34.3,32.9,33.09,34.02,-2.73,-0.93,3.3157262E7,991217
2025/03/17,35.58,35.8,33.99,34.02,35.58,-4.38,-1.56,6.3508436E7,1832982
2025/03/16,35.53,35.99,35.2,35.58,35.53,0.14,0.05,8288720.5,233001
2025/03/13,35.8,36.29,35.52,35.53,35.8,-0.75,-0.27,3.2545436E7,909918
2025/03/12,35.17,36.07,35.1,35.8,35.17,1.79,0.63,4.4297592E7,1237017
2025/03/11,35.29,35.32,34.85,35.17,35.29,-0.34,-0.12,2.1953042E7,625963
2025/03/10,35.09,35.48,35.01,35.29,35.09,0.57,0.2,9908401.0,281546
2025/03/09,35.3,35.6,35.0,35.09,35.3,-0.45,-0.16,1.2142582E7,344892
2025/03/06,35.65,35.74,34.85,35.3,35.65,-0.98,-0.35,3.889256E7,1102128
2025/03/05,35.87,35.87,35.35,35.65,35.87,-0.61,-0.22,1.3001432E7,366133
2025/03/04,35.6,35.95,35.6,35.87,35.6,0.76,0.27,3.4304452E7,960677
2025/03/03,35.21,36.25,34.75,35.6,35.21,1.11,0.39,5.7329072E7,1614320
2025/03/02,35.78,36.0,35.17,35.21,35.78,-1.59,-0.57,1.5879069E7,448952
2025/02/27,36.5,36.75,35.55,35.78,36.5,-1.97,-0.72,3.8539376E7,1074447
2025/02/26,36.85,37.35,36.5,36.5,36.85,-0.95,-0.35,1.5547901E7,423117
2025/02/25,37.54,37.95,36.8,36.85,37.54,-1.84,-0.69,9897679.0,267066
2025/02/24,38.5,38.51,37.22,37.5,38.5,-2.6,-1.0,6.1961408E7,1636147
2025/02/23,36.35,39.8,36.5,38.5,36.35,5.91,2.15,8.1865072E7,2126238
2025/02/20,36.54,36.9,36.26,36.35,36.54,-0.52,-0.19,5.0410368E7,1386105
2025/02/19,37.53,37.53,36.07,36.54,37.53,-2.64,-0.99,2.24954E7,610903
2025/02/18,36.8,37.85,36.63,37.53,36.8,1.98,0.73,1.8110726E7,485379
2025/02/17,36.3,36.97,36.05,36.8,36.3,1.38,0.5,2.5583342E7,698902
2025/02/16,37.8,38.79,35.9,36.3,37.8,-3.97,-1.5,6.7192624E7,1818653
2025/02/13,35.52,39.0,35.2,37.8,35.52,6.42,2.28,7.2001456E7,1909316
2025/02/12,36.11,36.47,35.11,35.52,36.11,-1.63,-0.59,6373260.0,178131
2025/02/11,37.5,37.75,35.8,36.11,37.5,-2.4,-0.9,1.0499826E7,289340
2025/02/10,37.52,38.1,37.01,37.5,37.52,-0.05,-0.02,1.83970336E8,4935617
2025/02/09,35.49,37.99,35.5,37.52,35.49,5.72,2.03,2.6286686E7,707628
2025/02/06,35.0,35.7,34.7,35.49,35.0,1.4,0.49,9895880.0,280588
2025/02/05,34.52,35.0,34.1,35.0,34.52,1.39,0.48,1.6026661E7,462349
2025/02/04,35.0,35.57,34.52,34.52,35.0,-1.37,-0.48,4.2326104E7,1207377
2025/02/03,35.58,35.95,34.95,35.0,35.58,-1.63,-0.58,2.2446988E7,640587
2025/02/02,35.03,36.28,34.8,35.58,35.03,1.57,0.55,1.5954421E7,444972
2025/01/30,35.0,35.48,34.9,35.03,35.0,0.09,0.03,6538482.0,186422
2025/01/29,35.05,35.5,34.86,35.0,35.05,-0.14,-0.05,2.2517792E7,641262
2025/01/28,35.44,35.75,34.8,35.05,35.44,-1.1,-0.39,2.6447926E7,748218
2025/01/27,35.71,36.0,34.7,35.44,35.71,-0.76,-0.27,5.3441972E7,1518867
2025/01/26,34.8,37.0,34.85,35.71,34.8,2.61,0.91,6.8086152E7,1891118
2025/01/23,33.78,36.88,33.8,34.8,33.78,3.02,1.02,1.31952176E8,3757345
2025/01/22,31.8,34.0,31.8,33.78,31.8,6.23,1.98,1.59075344E8,4893923
2025/01/21,32.0,32.25,31.74,31.8,32.0,-0.63,-0.2,1.2115635E7,379135
2025/01/20,32.06,32.4,31.75,32.0,32.06,-0.19,-0.06,4355468.0,136174
2025/01/19,32.0,32.5,32.0,32.06,32.0,0.59,0.19,3884947.25,120904
2025/01/16,31.61,32.95,31.61,32.0,31.61,1.23,0.39,1.4900413E7,464733
2025/01/15,31.96,32.6,31.0,31.61,31.96,-1.1,-0.35,3.8037132E7,1202123
2025/01/14,32.43,33.3,31.35,31.96,32.43,-0.8,-0.26,1.3214813E7,412173
2025/01/13,32.81,33.66,32.41,32.43,32.81,-1.16,-0.38,1.1111337E7,338870
2025/01/12,33.39,33.55,32.2,32.81,33.39,-1.74,-0.58,4275239.0,129991
2025/01/09,32.62,34.19,32.85,33.39,32.62,2.39,0.78,5388681.0,159902
2025/01/08,32.85,33.2,32.2,32.62,32.85,-0.7,-0.23,1189824.38,36392
2025/01/06,33.46,33.5,32.03,32.85,33.46,-1.82,-0.61,5568512.5,170328
2025/01/05,33.81,33.99,32.8,33.46,33.81,-1.04,-0.35,3909535.25,117429
2025/01/02,33.5,34.5,33.2,33.81,33.5,0.6,0.2,7466048.5,219609
2024/12/31,32.78,33.6,31.21,33.5,32.78,2.2,0.72,8138379.5,245587
2024/12/30,32.08,32.9,32.11,32.78,32.08,2.18,0.7,8549984.0,262503
2024/12/29,31.5,32.1,31.02,32.08,31.5,1.84,0.58,4723738.0,149321
2024/12/26,30.72,31.5,30.51,31.5,30.72,2.54,0.78,3494169.0,112351
2024/12/25,31.06,31.06,30.64,30.72,31.06,-1.09,-0.34,752135.75,24398
2024/12/24,30.85,31.14,30.05,31.06,30.85,0.68,0.21,5386656.5,175115
2024/12/23,31.01,31.2,30.71,30.85,31.01,-0.52,-0.16,1.259115E7,407254
2024/12/22,31.0,31.84,30.9,31.01,31.0,0.03,0.01,7846179.0,252597
2024/12/19,30.9,31.0,29.84,31.0,30.9,0.32,0.1,1.0617817E7,347603
2024/12/18,29.72,31.1,29.5,30.9,29.72,3.97,1.18,2.1532576E7,705368
2024/12/17,30.3,30.65,29.7,29.72,30.3,-1.91,-0.58,7430389.0,247270
2024/12/16,30.67,30.99,30.06,30.3,30.67,-1.21,-0.37,9058985.0,298378
2024/12/15,31.25,31.25,30.57,30.67,31.25,-1.86,-0.58,9555290.0,309650
2024/12/12,30.64,31.25,29.93,31.25,30.64,1.99,0.61,1.6934628E7,556077
2024/12/11,31.47,31.7,30.02,30.64,31.47,-2.64,-0.83,9139415.0,295512
2024/12/10,31.65,31.9,31.25,31.47,31.65,-0.57,-0.18,8389526.0,266387
2024/12/09,32.59,32.82,31.52,31.65,32.59,-2.88,-0.94,1.1338614E7,353754
2024/12/08,33.0,33.0,32.23,32.59,33.0,-1.24,-0.41,2747781.0,83969
2024/12/05,32.54,33.25,32.25,33.0,32.54,1.41,0.46,1.4858374E7,452425
2024/12/04,32.5,33.5,32.5,32.54,32.5,0.18,0.06,3530671.25,107271
2024/12/03,33.29,33.75,32.5,32.5,33.29,-2.37,-0.79,1.9523764E7,594407
2024/12/02,33.48,33.93,33.0,33.29,33.48,-0.57,-0.19,5.0298448E7,1503338
2024/12/01,32.01,33.83,32.01,33.48,32.01,4.59,1.47,4398168.5,133425
2024/11/28,31.72,32.4,31.0,32.01,31.72,0.91,0.29,3251749.0,102872
2024/11/27,32.49,32.8,31.31,31.72,32.49,-2.37,-0.77,1.8039308E7,560894
2024/11/26,32.87,33.48,32.19,32.49,32.87,-1.16,-0.38,6343539.5,194924
2024/11/25,33.62,34.0,32.65,32.87,33.62,-2.44,-0.82,7412131.5,224428
2024/11/24,33.5,34.4,33.5,33.62,33.5,0.36,0.12,2444273.75,72313
2024/11/21,33.36,33.88,32.8,33.5,33.36,0.42,0.14,5696801.0,171014
2024/11/20,34.5,34.6,32.8,33.36,34.5,-3.3,-1.14,1.0261918E7,307880
2024/11/19,34.6,34.6,34.0,34.5,34.6,-0.29,-0.1,2.9528592E7,856763
2024/11/18,33.18,34.8,33.0,34.6,33.18,4.28,1.42,3.4775656E7,1012413
2024/11/17,32.1,33.3,32.0,33.18,32.1,3.36,1.08,8726262.0,266976
2024/11/14,32.52,33.0,31.88,32.1,32.52,-1.29,-0.42,1.0598814E7,329528
2024/11/13,33.02,33.49,32.5,32.52,33.02,-1.51,-0.5,5659050.5,173112
2024/11/12,34.0,34.0,32.5,33.02,34.0,-2.88,-0.98,8665010.0,263450
2024/11/11,33.53,34.0,33.04,34.0,33.53,1.4,0.47,4149363.5,123671
2024/11/10,32.5,34.4,32.61,33.53,32.5,3.82,1.24,2.4978142E7,741327
2024/11/07,31.86,32.6,31.52,32.5,31.86,2.01,0.64,7065282.5,219878
2024/11/06,32.03,32.4,31.7,31.86,32.03,-1.0,-0.32,6242091.0,195359
2024/11/05,31.65,32.39,31.39,32.03,31.65,1.2,0.38,6471145.0,202408
2024/11/04,30.76,32.2,30.76,31.65,30.76,2.89,0.89,1.458481E7,462866
2024/11/03,31.13,31.88,30.7,30.76,31.13,-1.19,-0.37,9701095.0,312581
2024/10/31,31.48,32.2,31.1,31.13,31.48,-0.73,-0.23,9272256.0,293482
2024/10/30,31.39,31.98,30.87,31.48,31.39,0.29,0.09,8329603.5,266889
2024/10/29,31.78,32.38,30.95,31.39,31.78,-1.23,-0.39,8487664.0,270449
2024/10/28,32.62,33.0,31.69,31.78,32.62,-2.82,-0.92,9741170.0,303542
2024/10/27,34.02,34.8,32.0,32.62,34.02,-4.12,-1.4,9261370.0,278484
2024/10/24,34.34,34.9,33.01,34.02,34.34,-0.93,-0.32,1.2402558E7,365338
2024/10/23,34.49,36.38,33.31,34.34,34.49,-0.55,-0.19,2.8539224E7,836772
2024/10/22,33.61,34.6,32.59,34.49,33.61,2.62,0.88,4.9791688E7,1487296
